# Value of energy0.111376
# number of periods40
# number of steps40
4.43 -0.751619 -0.382112
4.43167 -0.750909 -0.383241
4.43333 -0.750197 -0.384368
4.435 -0.749481 -0.385494
4.43667 -0.748762 -0.386617
4.43833 -0.748039 -0.38774
4.44 -0.747313 -0.38886
4.44167 -0.746583 -0.389978
4.44333 -0.74585 -0.391095
4.445 -0.745114 -0.39221
4.44667 -0.744374 -0.393324
4.44833 -0.743631 -0.394435
4.45 -0.742884 -0.395545
4.45167 -0.742134 -0.396653
4.45333 -0.741381 -0.397759
4.455 -0.740624 -0.398863
4.45667 -0.739864 -0.399966
4.45833 -0.7391 -0.401067
4.46 -0.738333 -0.402165
4.46167 -0.737563 -0.403263
4.46333 -0.736789 -0.404358
4.465 -0.736012 -0.405451
4.46667 -0.735232 -0.406543
4.46833 -0.734448 -0.407633
4.47 -0.733661 -0.40872
4.47167 -0.732871 -0.409806
4.47333 -0.732077 -0.410891
4.475 -0.73128 -0.411973
4.47667 -0.730479 -0.413053
4.47833 -0.729675 -0.414132
4.48 -0.728868 -0.415209
4.48167 -0.728057 -0.416283
4.48333 -0.727243 -0.417356
4.485 -0.726426 -0.418427
4.48667 -0.725605 -0.419496
4.48833 -0.724781 -0.420563
4.49 -0.723953 -0.421628
4.49167 -0.723123 -0.422692
4.49333 -0.722288 -0.423753
4.495 -0.721451 -0.424812
4.49667 -0.72061 -0.42587
4.49833 -0.719766 -0.426925
4.5 -0.718918 -0.427979
4.50167 -0.718068 -0.42903
4.50333 -0.717213 -0.43008
4.505 -0.716356 -0.431127
4.50667 -0.715495 -0.432173
4.50833 -0.714631 -0.433217
4.51 -0.713763 -0.434258
4.51167 -0.712892 -0.435298
4.51333 -0.712018 -0.436335
4.515 -0.711141 -0.437371
4.51667 -0.71026 -0.438404
4.51833 -0.709376 -0.439436
4.52 -0.708488 -0.440465
4.52167 -0.707598 -0.441493
4.52333 -0.706704 -0.442518
4.525 -0.705806 -0.443541
4.52667 -0.704905 -0.444563
4.52833 -0.704001 -0.445582
4.53 -0.703094 -0.446599
4.53167 -0.702183 -0.447614
4.53333 -0.701269 -0.448627
4.535 -0.700352 -0.449638
4.53667 -0.699432 -0.450646
4.53833 -0.698508 -0.451653
4.54 -0.697581 -0.452657
4.54167 -0.69665 -0.45366
4.54333 -0.695716 -0.45466
4.545 -0.694779 -0.455658
4.54667 -0.693839 -0.456654
4.54833 -0.692895 -0.457648
4.55 -0.691948 -0.458639
4.55167 -0.690998 -0.459629
4.55333 -0.690045 -0.460616
4.555 -0.689088 -0.461601
4.55667 -0.688128 -0.462584
4.55833 -0.687164 -0.463565
4.56 -0.686198 -0.464544
4.56167 -0.685228 -0.46552
4.56333 -0.684254 -0.466494
4.565 -0.683278 -0.467466
4.56667 -0.682298 -0.468436
4.56833 -0.681315 -0.469403
4.57 -0.680329 -0.470369
4.57167 -0.679339 -0.471332
4.57333 -0.678346 -0.472292
4.575 -0.67735 -0.473251
4.57667 -0.676351 -0.474207
4.57833 -0.675348 -0.475161
4.58 -0.674342 -0.476113
4.58167 -0.673333 -0.477062
4.58333 -0.672321 -0.478009
4.585 -0.671305 -0.478954
4.58667 -0.670286 -0.479897
4.58833 -0.669264 -0.480837
4.59 -0.668239 -0.481775
4.59167 -0.66721 -0.48271
4.59333 -0.666178 -0.483643
4.595 -0.665143 -0.484574
4.59667 -0.664105 -0.485503
4.59833 -0.663063 -0.486429
4.6 -0.662018 -0.487353
4.60167 -0.66097 -0.488274
4.60333 -0.659918 -0.489193
4.605 -0.658864 -0.49011
4.60667 -0.657806 -0.491024
4.60833 -0.656745 -0.491936
4.61 -0.655681 -0.492846
4.61167 -0.654613 -0.493753
4.61333 -0.653542 -0.494658
4.615 -0.652468 -0.49556
4.61667 -0.651391 -0.49646
4.61833 -0.650311 -0.497357
4.62 -0.649227 -0.498252
4.62167 -0.64814 -0.499145
4.62333 -0.64705 -0.500035
4.625 -0.645957 -0.500922
4.62667 -0.64486 -0.501807
4.62833 -0.64376 -0.50269
4.63 -0.642657 -0.50357
4.63167 -0.641551 -0.504448
4.63333 -0.640442 -0.505323
4.635 -0.639329 -0.506195
4.63667 -0.638214 -0.507065
4.63833 -0.637095 -0.507933
4.64 -0.635972 -0.508798
4.64167 -0.634847 -0.50966
4.64333 -0.633718 -0.51052
4.645 -0.632587 -0.511378
4.64667 -0.631452 -0.512232
4.64833 -0.630313 -0.513085
4.65 -0.629172 -0.513934
4.65167 -0.628028 -0.514781
4.65333 -0.62688 -0.515626
4.655 -0.625729 -0.516468
4.65667 -0.624575 -0.517307
4.65833 -0.623417 -0.518143
4.66 -0.622257 -0.518977
4.66167 -0.621093 -0.519809
4.66333 -0.619927 -0.520637
4.665 -0.618757 -0.521464
4.66667 -0.617583 -0.522287
4.66833 -0.616407 -0.523108
4.67 -0.615228 -0.523926
4.67167 -0.614045 -0.524741
4.67333 -0.612859 -0.525554
4.675 -0.61167 -0.526364
4.67667 -0.610478 -0.527171
4.67833 -0.609282 -0.527976
4.68 -0.608084 -0.528778
4.68167 -0.606882 -0.529577
4.68333 -0.605677 -0.530373
4.685 -0.60447 -0.531167
4.68667 -0.603258 -0.531958
4.68833 -0.602044 -0.532746
4.69 -0.600827 -0.533531
4.69167 -0.599606 -0.534314
4.69333 -0.598382 -0.535094
4.695 -0.597156 -0.535871
4.69667 -0.595926 -0.536645
4.69833 -0.594693 -0.537416
4.7 -0.593456 -0.538185
4.70167 -0.592217 -0.53895
4.70333 -0.590974 -0.539713
4.705 -0.589729 -0.540473
4.70667 -0.58848 -0.541231
4.70833 -0.587228 -0.541985
4.71 -0.585973 -0.542737
4.71167 -0.584715 -0.543485
4.71333 -0.583453 -0.544231
4.715 -0.582189 -0.544974
4.71667 -0.580922 -0.545714
4.71833 -0.579651 -0.546451
4.72 -0.578377 -0.547185
4.72167 -0.5771 -0.547916
4.72333 -0.57582 -0.548644
4.725 -0.574537 -0.54937
4.72667 -0.573251 -0.550092
4.72833 -0.571962 -0.550811
4.73 -0.570669 -0.551528
4.73167 -0.569374 -0.552241
4.73333 -0.568075 -0.552952
4.735 -0.566774 -0.553659
4.73667 -0.565469 -0.554363
4.73833 -0.564161 -0.555065
4.74 -0.56285 -0.555763
4.74167 -0.561536 -0.556459
4.74333 -0.560219 -0.557151
4.745 -0.558899 -0.55784
4.74667 -0.557575 -0.558526
4.74833 -0.556249 -0.55921
4.75 -0.554919 -0.55989
4.75167 -0.553587 -0.560567
4.75333 -0.552251 -0.56124
4.755 -0.550913 -0.561911
4.75667 -0.549571 -0.562579
4.75833 -0.548226 -0.563243
4.76 -0.546878 -0.563905
4.76167 -0.545527 -0.564563
4.76333 -0.544173 -0.565218
4.765 -0.542816 -0.56587
4.76667 -0.541456 -0.566519
4.76833 -0.540093 -0.567165
4.77 -0.538727 -0.567807
4.77167 -0.537357 -0.568446
4.77333 -0.535985 -0.569082
4.775 -0.53461 -0.569715
4.77667 -0.533231 -0.570345
4.77833 -0.53185 -0.570971
4.78 -0.530465 -0.571594
4.78167 -0.529078 -0.572214
4.78333 -0.527687 -0.57283
4.785 -0.526294 -0.573444
4.78667 -0.524897 -0.574054
4.78833 -0.523498 -0.57466
4.79 -0.522095 -0.575264
4.79167 -0.520689 -0.575864
4.79333 -0.51928 -0.576461
4.795 -0.517869 -0.577054
4.79667 -0.516454 -0.577644
4.79833 -0.515036 -0.578231
4.8 -0.513616 -0.578814
4.80167 -0.512192 -0.579394
4.80333 -0.510765 -0.579971
4.805 -0.509335 -0.580544
4.80667 -0.507903 -0.581114
4.80833 -0.506467 -0.58168
4.81 -0.505028 -0.582243
4.81167 -0.503586 -0.582803
4.81333 -0.502142 -0.583359
4.815 -0.500694 -0.583912
4.81667 -0.499243 -0.584461
4.81833 -0.49779 -0.585007
4.82 -0.496333 -0.585549
4.82167 -0.494873 -0.586088
4.82333 -0.493411 -0.586623
4.825 -0.491945 -0.587155
4.82667 -0.490477 -0.587683
4.82833 -0.489005 -0.588207
4.83 -0.487531 -0.588729
4.83167 -0.486053 -0.589246
4.83333 -0.484573 -0.58976
4.835 -0.483089 -0.59027
4.83667 -0.481603 -0.590777
4.83833 -0.480114 -0.59128
4.84 -0.478622 -0.59178
4.84167 -0.477127 -0.592276
4.84333 -0.475628 -0.592768
4.845 -0.474128 -0.593257
4.84667 -0.472624 -0.593742
4.84833 -0.471117 -0.594223
4.85 -0.469607 -0.594701
4.85167 -0.468094 -0.595175
4.85333 -0.466579 -0.595645
4.855 -0.46506 -0.596112
4.85667 -0.463539 -0.596575
4.85833 -0.462014 -0.597034
4.86 -0.460487 -0.597489
4.86167 -0.458957 -0.597941
4.86333 -0.457424 -0.598389
4.865 -0.455888 -0.598833
4.86667 -0.454349 -0.599273
4.86833 -0.452807 -0.59971
4.87 -0.451262 -0.600142
4.87167 -0.449715 -0.600571
4.87333 -0.448164 -0.600996
4.875 -0.446611 -0.601417
4.87667 -0.445055 -0.601835
4.87833 -0.443496 -0.602248
4.88 -0.441934 -0.602658
4.88167 -0.440369 -0.603063
4.88333 -0.438801 -0.603465
4.885 -0.43723 -0.603863
4.88667 -0.435657 -0.604257
4.88833 -0.434081 -0.604647
4.89 -0.432502 -0.605033
4.89167 -0.43092 -0.605415
4.89333 -0.429335 -0.605793
4.895 -0.427747 -0.606167
4.89667 -0.426157 -0.606537
4.89833 -0.424564 -0.606903
4.9 -0.422967 -0.607265
4.90167 -0.421368 -0.607623
4.90333 -0.419767 -0.607977
4.905 -0.418162 -0.608327
4.90667 -0.416555 -0.608672
4.90833 -0.414944 -0.609014
4.91 -0.413331 -0.609352
4.91167 -0.411716 -0.609685
4.91333 -0.410097 -0.610014
4.915 -0.408476 -0.61034
4.91667 -0.406851 -0.610661
4.91833 -0.405224 -0.610977
4.92 -0.403595 -0.61129
4.92167 -0.401962 -0.611599
4.92333 -0.400327 -0.611903
4.925 -0.398689 -0.612203
4.92667 -0.397048 -0.612499
4.92833 -0.395404 -0.61279
4.93 -0.393758 -0.613077
4.93167 -0.392109 -0.613361
4.93333 -0.390457 -0.613639
4.935 -0.388802 -0.613914
4.93667 -0.387145 -0.614184
4.93833 -0.385485 -0.61445
4.94 -0.383822 -0.614711
4.94167 -0.382156 -0.614968
4.94333 -0.380488 -0.615221
4.945 -0.378817 -0.615469
4.94667 -0.377143 -0.615713
4.94833 -0.375467 -0.615953
4.95 -0.373788 -0.616188
4.95167 -0.372106 -0.616419
4.95333 -0.370421 -0.616645
4.955 -0.368734 -0.616867
4.95667 -0.367044 -0.617084
4.95833 -0.365352 -0.617297
4.96 -0.363656 -0.617505
4.96167 -0.361959 -0.617709
4.96333 -0.360258 -0.617908
4.965 -0.358555 -0.618103
4.96667 -0.356849 -0.618293
4.96833 -0.35514 -0.618478
4.97 -0.353429 -0.618659
4.97167 -0.351715 -0.618836
4.97333 -0.349999 -0.619008
4.975 -0.34828 -0.619175
4.97667 -0.346558 -0.619337
4.97833 -0.344834 -0.619495
4.98 -0.343107 -0.619648
4.98167 -0.341377 -0.619796
4.98333 -0.339645 -0.61994
4.985 -0.33791 -0.620079
4.98667 -0.336173 -0.620213
4.98833 -0.334433 -0.620343
4.99 -0.332691 -0.620467
4.99167 -0.330946 -0.620587
4.99333 -0.329198 -0.620702
4.995 -0.327448 -0.620813
4.99667 -0.325695 -0.620918
4.99833 -0.32394 -0.621019
5 -0.322182 -0.621114
5.00167 -0.320421 -0.621205
5.00333 -0.318659 -0.621291
5.005 -0.316893 -0.621372
5.00667 -0.315125 -0.621448
5.00833 -0.313355 -0.621519
5.01 -0.311582 -0.621586
5.01167 -0.309806 -0.621647
5.01333 -0.308028 -0.621703
5.015 -0.306248 -0.621754
5.01667 -0.304465 -0.6218
5.01833 -0.302679 -0.621842
5.02 -0.300892 -0.621878
5.02167 -0.299101 -0.621909
5.02333 -0.297308 -0.621935
5.025 -0.295513 -0.621955
5.02667 -0.293716 -0.621971
5.02833 -0.291915 -0.621982
5.03 -0.290113 -0.621987
5.03167 -0.288308 -0.621987
5.03333 -0.286501 -0.621982
5.035 -0.284691 -0.621972
5.03667 -0.282879 -0.621957
5.03833 -0.281064 -0.621936
5.04 -0.279247 -0.62191
5.04167 -0.277428 -0.621879
5.04333 -0.275606 -0.621842
5.045 -0.273782 -0.621801
5.04667 -0.271956 -0.621753
5.04833 -0.270127 -0.621701
5.05 -0.268296 -0.621643
5.05167 -0.266463 -0.62158
5.05333 -0.264627 -0.621511
5.055 -0.262789 -0.621437
5.05667 -0.260949 -0.621358
5.05833 -0.259106 -0.621273
5.06 -0.257261 -0.621182
5.06167 -0.255414 -0.621086
5.06333 -0.253565 -0.620985
5.065 -0.251713 -0.620878
5.06667 -0.249859 -0.620765
5.06833 -0.248003 -0.620647
5.07 -0.246144 -0.620524
5.07167 -0.244284 -0.620394
5.07333 -0.242421 -0.620259
5.075 -0.240556 -0.620119
5.07667 -0.238688 -0.619973
5.07833 -0.236819 -0.619821
5.08 -0.234947 -0.619663
5.08167 -0.233074 -0.6195
5.08333 -0.231198 -0.619331
5.085 -0.229319 -0.619156
5.08667 -0.227439 -0.618976
5.08833 -0.225557 -0.618789
5.09 -0.223672 -0.618597
5.09167 -0.221786 -0.618399
5.09333 -0.219897 -0.618195
5.095 -0.218006 -0.617986
5.09667 -0.216113 -0.61777
5.09833 -0.214218 -0.617548
5.1 -0.212321 -0.617321
5.10167 -0.210422 -0.617087
5.10333 -0.208521 -0.616848
5.105 -0.206618 -0.616603
5.10667 -0.204713 -0.616351
5.10833 -0.202806 -0.616094
5.11 -0.200897 -0.61583
5.11167 -0.198985 -0.615561
5.11333 -0.197072 -0.615285
5.115 -0.195157 -0.615003
5.11667 -0.19324 -0.614715
5.11833 -0.191321 -0.614421
5.12 -0.1894 -0.614121
5.12167 -0.187478 -0.613814
5.12333 -0.185553 -0.613502
5.125 -0.183626 -0.613183
5.12667 -0.181698 -0.612858
5.12833 -0.179768 -0.612526
5.13 -0.177836 -0.612188
5.13167 -0.175902 -0.611844
5.13333 -0.173966 -0.611493
5.135 -0.172028 -0.611137
5.13667 -0.170089 -0.610773
5.13833 -0.168147 -0.610404
5.14 -0.166204 -0.610027
5.14167 -0.16426 -0.609645
5.14333 -0.162313 -0.609256
5.145 -0.160365 -0.60886
5.14667 -0.158415 -0.608458
5.14833 -0.156463 -0.608049
5.15 -0.15451 -0.607634
5.15167 -0.152555 -0.607212
5.15333 -0.150598 -0.606783
5.155 -0.14864 -0.606348
5.15667 -0.14668 -0.605906
5.15833 -0.144719 -0.605458
5.16 -0.142755 -0.605003
5.16167 -0.140791 -0.604541
5.16333 -0.138824 -0.604072
5.165 -0.136856 -0.603596
5.16667 -0.134887 -0.603114
5.16833 -0.132916 -0.602625
5.17 -0.130944 -0.602129
5.17167 -0.12897 -0.601626
5.17333 -0.126994 -0.601116
5.175 -0.125017 -0.600599
5.17667 -0.123039 -0.600075
5.17833 -0.121059 -0.599545
5.18 -0.119078 -0.599007
5.18167 -0.117095 -0.598462
5.18333 -0.115111 -0.59791
5.185 -0.113126 -0.597351
5.18667 -0.11114 -0.596785
5.18833 -0.109152 -0.596212
5.19 -0.107162 -0.595632
5.19167 -0.105172 -0.595045
5.19333 -0.10318 -0.59445
5.195 -0.101187 -0.593848
5.19667 -0.0991926 -0.593239
5.19833 -0.0971971 -0.592622
5.2 -0.0952004 -0.591999
5.20167 -0.0932025 -0.591368
5.20333 -0.0912035 -0.590729
5.205 -0.0892033 -0.590083
5.20667 -0.087202 -0.58943
5.20833 -0.0851997 -0.588769
5.21 -0.0831962 -0.588101
5.21167 -0.0811917 -0.587426
5.21333 -0.0791862 -0.586742
5.215 -0.0771797 -0.586052
5.21667 -0.0751722 -0.585354
5.21833 -0.0731637 -0.584648
5.22 -0.0711542 -0.583934
5.22167 -0.0691439 -0.583213
5.22333 -0.0671326 -0.582484
5.225 -0.0651205 -0.581748
5.22667 -0.0631075 -0.581003
5.22833 -0.0610937 -0.580251
5.23 -0.059079 -0.579492
5.23167 -0.0570636 -0.578724
5.23333 -0.0550474 -0.577948
5.235 -0.0530305 -0.577165
5.23667 -0.0510129 -0.576374
5.23833 -0.0489945 -0.575575
5.24 -0.0469755 -0.574768
5.24167 -0.0449559 -0.573952
5.24333 -0.0429356 -0.573129
5.245 -0.0409148 -0.572298
5.24667 -0.0388934 -0.571459
5.24833 -0.0368714 -0.570612
5.25 -0.0348489 -0.569756
5.25167 -0.032826 -0.568893
5.25333 -0.0308026 -0.568021
5.255 -0.0287787 -0.567141
5.25667 -0.0267545 -0.566252
5.25833 -0.0247298 -0.565356
5.26 -0.0227048 -0.564451
5.26167 -0.0206795 -0.563538
5.26333 -0.0186539 -0.562616
5.265 -0.0166281 -0.561687
5.26667 -0.014602 -0.560748
5.26833 -0.0125757 -0.559801
5.27 -0.0105492 -0.558846
5.27167 -0.00852257 -0.557882
5.27333 -0.00649583 -0.55691
5.275 -0.004469 -0.555929
5.27667 -0.00244212 -0.55494
5.27833 -0.000415213 -0.553942
5.28 0.00161168 -0.552935
5.28167 0.00363854 -0.55192
5.28333 0.00566532 -0.550895
5.285 0.007692 -0.549862
5.28667 0.00971853 -0.548821
5.28833 0.0117449 -0.54777
5.29 0.0137711 -0.546711
5.29167 0.015797 -0.545643
5.29333 0.0178226 -0.544566
5.295 0.0198479 -0.54348
5.29667 0.0218729 -0.542385
5.29833 0.0238975 -0.541281
5.3 0.0259217 -0.540168
5.30167 0.0279455 -0.539045
5.30333 0.0299687 -0.537914
5.305 0.0319914 -0.536774
5.30667 0.0340136 -0.535624
5.30833 0.0360351 -0.534466
5.31 0.038056 -0.533298
5.31167 0.0400763 -0.532121
5.31333 0.0420958 -0.530934
5.315 0.0441145 -0.529739
5.31667 0.0461325 -0.528534
5.31833 0.0481496 -0.527319
5.32 0.0501658 -0.526095
5.32167 0.0521812 -0.524862
5.32333 0.0541955 -0.523619
5.325 0.0562089 -0.522367
5.32667 0.0582211 -0.521105
5.32833 0.0602324 -0.519834
5.33 0.0622424 -0.518553
5.33167 0.0642513 -0.517263
5.33333 0.066259 -0.515962
5.335 0.0682654 -0.514652
5.33667 0.0702705 -0.513333
5.33833 0.0722742 -0.512003
5.34 0.0742765 -0.510664
5.34167 0.0762774 -0.509315
5.34333 0.0782767 -0.507956
5.345 0.0802745 -0.506587
5.34667 0.0822707 -0.505209
5.34833 0.0842653 -0.50382
5.35 0.0862582 -0.502421
5.35167 0.0882493 -0.501013
5.35333 0.0902386 -0.499594
5.355 0.0922261 -0.498165
5.35667 0.0942117 -0.496726
5.35833 0.0961953 -0.495277
5.36 0.0981769 -0.493818
5.36167 0.100157 -0.492349
5.36333 0.102134 -0.490869
5.365 0.104109 -0.489379
5.36667 0.106082 -0.487879
5.36833 0.108053 -0.486368
5.37 0.110022 -0.484847
5.37167 0.111988 -0.483316
5.37333 0.113951 -0.481774
5.375 0.115912 -0.480222
5.37667 0.117871 -0.478659
5.37833 0.119827 -0.477086
5.38 0.12178 -0.475502
5.38167 0.123731 -0.473908
5.38333 0.125678 -0.472303
5.385 0.127623 -0.470687
5.38667 0.129565 -0.469061
5.38833 0.131504 -0.467423
5.39 0.13344 -0.465776
5.39167 0.135372 -0.464117
5.39333 0.137302 -0.462448
5.395 0.139228 -0.460767
5.39667 0.141151 -0.459076
5.39833 0.143071 -0.457374
5.4 0.144987 -0.455661
5.40167 0.146899 -0.453937
5.40333 0.148808 -0.452202
5.405 0.150714 -0.450457
5.40667 0.152615 -0.4487
5.40833 0.154513 -0.446932
5.41 0.156407 -0.445152
5.41167 0.158297 -0.443362
5.41333 0.160183 -0.441561
5.415 0.162065 -0.439748
5.41667 0.163943 -0.437924
5.41833 0.165816 -0.436089
5.42 0.167685 -0.434243
5.42167 0.16955 -0.432385
5.42333 0.17141 -0.430516
5.425 0.173266 -0.428636
5.42667 0.175117 -0.426745
5.42833 0.176963 -0.424842
5.43 0.178805 -0.422927
5.43167 0.180641 -0.421001
5.43333 0.182473 -0.419064
5.435 0.1843 -0.417115
5.43667 0.186121 -0.415154
5.43833 0.187938 -0.413182
5.44 0.189749 -0.411199
5.44167 0.191554 -0.409204
5.44333 0.193354 -0.407197
5.445 0.195149 -0.405179
5.44667 0.196938 -0.403148
5.44833 0.198721 -0.401107
5.45 0.200498 -0.399053
5.45167 0.202269 -0.396988
5.45333 0.204035 -0.394911
5.455 0.205794 -0.392823
5.45667 0.207547 -0.390722
5.45833 0.209294 -0.38861
5.46 0.211034 -0.386486
5.46167 0.212768 -0.38435
5.46333 0.214495 -0.382202
5.465 0.216215 -0.380043
5.46667 0.217929 -0.377871
5.46833 0.219636 -0.375688
5.47 0.221335 -0.373493
5.47167 0.223028 -0.371285
5.47333 0.224714 -0.369066
5.475 0.226392 -0.366835
5.47667 0.228062 -0.364592
5.47833 0.229726 -0.362337
5.48 0.231381 -0.36007
5.48167 0.233029 -0.357791
5.48333 0.234669 -0.3555
5.485 0.236301 -0.353197
5.48667 0.237925 -0.350882
5.48833 0.23954 -0.348556
5.49 0.241148 -0.346217
5.49167 0.242747 -0.343866
5.49333 0.244337 -0.341503
5.495 0.245919 -0.339128
5.49667 0.247492 -0.336741
5.49833 0.249056 -0.334341
5.5 0.250612 -0.33193
5.50167 0.252158 -0.329507
5.50333 0.253695 -0.327072
5.505 0.255222 -0.324625
5.50667 0.25674 -0.322166
5.50833 0.258249 -0.319695
5.51 0.259747 -0.317211
5.51167 0.261236 -0.314716
5.51333 0.262715 -0.312209
5.515 0.264184 -0.30969
5.51667 0.265642 -0.307159
5.51833 0.26709 -0.304616
5.52 0.268528 -0.302061
5.52167 0.269955 -0.299494
5.52333 0.271372 -0.296915
5.525 0.272777 -0.294325
5.52667 0.274171 -0.291722
5.52833 0.275555 -0.289108
5.53 0.276927 -0.286482
5.53167 0.278287 -0.283844
5.53333 0.279636 -0.281194
5.535 0.280974 -0.278533
5.53667 0.282299 -0.27586
5.53833 0.283613 -0.273175
5.54 0.284914 -0.270479
5.54167 0.286204 -0.267771
5.54333 0.287481 -0.265051
5.545 0.288745 -0.26232
5.54667 0.289997 -0.259578
5.54833 0.291236 -0.256823
5.55 0.292461 -0.254058
5.55167 0.293674 -0.251281
5.55333 0.294874 -0.248493
5.555 0.29606 -0.245693
5.55667 0.297233 -0.242883
5.55833 0.298392 -0.240061
5.56 0.299537 -0.237228
5.56167 0.300669 -0.234384
5.56333 0.301786 -0.231529
5.565 0.302889 -0.228663
5.56667 0.303978 -0.225786
5.56833 0.305052 -0.222898
5.57 0.306111 -0.219999
5.57167 0.307156 -0.21709
5.57333 0.308185 -0.21417
5.575 0.3092 -0.21124
5.57667 0.310199 -0.208299
5.57833 0.311182 -0.205347
5.58 0.31215 -0.202385
5.58167 0.313103 -0.199414
5.58333 0.314039 -0.196431
5.585 0.31496 -0.193439
5.58667 0.315864 -0.190437
5.58833 0.316752 -0.187425
5.59 0.317623 -0.184403
5.59167 0.318478 -0.181371
5.59333 0.319316 -0.17833
5.595 0.320137 -0.175279
5.59667 0.320942 -0.172219
5.59833 0.321728 -0.169149
5.6 0.322498 -0.16607
5.60167 0.32325 -0.162982
5.60333 0.323984 -0.159885
5.605 0.324701 -0.156779
5.60667 0.325399 -0.153664
5.60833 0.326079 -0.150541
5.61 0.326742 -0.147409
5.61167 0.327385 -0.144269
5.61333 0.328011 -0.14112
5.615 0.328617 -0.137963
5.61667 0.329205 -0.134799
5.61833 0.329774 -0.131626
5.62 0.330323 -0.128446
5.62167 0.330854 -0.125257
5.62333 0.331365 -0.122062
5.625 0.331856 -0.118859
5.62667 0.332328 -0.115649
5.62833 0.33278 -0.112432
5.63 0.333212 -0.109208
5.63167 0.333625 -0.105977
5.63333 0.334017 -0.102739
5.635 0.334388 -0.0994956
5.63667 0.334739 -0.0962455
5.63833 0.33507 -0.0929893
5.64 0.33538 -0.0897272
5.64167 0.335669 -0.0864593
5.64333 0.335938 -0.0831858
5.645 0.336185 -0.0799069
5.64667 0.336411 -0.0766228
5.64833 0.336616 -0.0733336
5.65 0.336799 -0.0700395
5.65167 0.336961 -0.0667407
5.65333 0.337101 -0.0634374
5.655 0.33722 -0.0601298
5.65667 0.337316 -0.056818
5.65833 0.337391 -0.0535023
5.66 0.337444 -0.0501829
5.66167 0.337475 -0.0468599
5.66333 0.337483 -0.0435335
5.665 0.337469 -0.040204
5.66667 0.337433 -0.0368716
5.66833 0.337375 -0.0335365
5.67 0.337293 -0.0301988
5.67167 0.33719 -0.0268587
5.67333 0.337063 -0.0235166
5.675 0.336914 -0.0201726
5.67667 0.336741 -0.0168269
5.67833 0.336546 -0.0134798
5.68 0.336328 -0.0101314
5.68167 0.336087 -0.006782
5.68333 0.335823 -0.0034318
5.685 0.335535 -8.1031e-05
5.68667 0.335225 0.00327009
5.68833 0.334891 0.00662133
5.69 0.334533 0.00997246
5.69167 0.334153 0.0133232
5.69333 0.333749 0.0166735
5.695 0.333321 0.0200229
5.69667 0.33287 0.0233713
5.69833 0.332396 0.0267184
5.7 0.331898 0.030064
5.70167 0.331377 0.0334079
5.70333 0.330831 0.0367498
5.705 0.330263 0.0400895
5.70667 0.329671 0.0434267
5.70833 0.329055 0.0467613
5.71 0.328416 0.0500929
5.71167 0.327753 0.0534214
5.71333 0.327066 0.0567464
5.715 0.326356 0.0600678
5.71667 0.325623 0.0633853
5.71833 0.324865 0.0666987
5.72 0.324085 0.0700077
5.72167 0.323281 0.0733122
5.72333 0.322453 0.0766117
5.725 0.321602 0.0799062
5.72667 0.320727 0.0831953
5.72833 0.31983 0.0864789
5.73 0.318909 0.0897567
5.73167 0.317964 0.0930284
5.73333 0.316997 0.0962938
5.735 0.316006 0.0995528
5.73667 0.314992 0.102805
5.73833 0.313955 0.10605
5.74 0.312896 0.109288
5.74167 0.311813 0.112519
5.74333 0.310707 0.115741
5.745 0.309579 0.118956
5.74667 0.308428 0.122163
5.74833 0.307255 0.125362
5.75 0.306059 0.128551
5.75167 0.304841 0.131732
5.75333 0.3036 0.134904
5.755 0.302338 0.138067
5.75667 0.301053 0.14122
5.75833 0.299746 0.144364
5.76 0.298417 0.147497
5.76167 0.297067 0.150621
5.76333 0.295695 0.153734
5.765 0.294302 0.156836
5.76667 0.292887 0.159928
5.76833 0.291451 0.163009
5.77 0.289994 0.166079
5.77167 0.288515 0.169137
5.77333 0.287016 0.172184
5.775 0.285497 0.175219
5.77667 0.283956 0.178242
5.77833 0.282396 0.181253
5.78 0.280815 0.184251
5.78167 0.279213 0.187237
5.78333 0.277592 0.190211
5.785 0.275952 0.193171
5.78667 0.274291 0.196119
5.78833 0.272611 0.199053
5.79 0.270912 0.201974
5.79167 0.269193 0.204881
5.79333 0.267456 0.207775
5.795 0.265699 0.210655
5.79667 0.263924 0.21352
5.79833 0.262131 0.216372
5.8 0.260319 0.219209
5.80167 0.258489 0.222032
5.80333 0.256642 0.22484
5.805 0.254776 0.227633
5.80667 0.252893 0.230411
5.80833 0.250992 0.233175
5.81 0.249075 0.235923
5.81167 0.24714 0.238656
5.81333 0.245188 0.241373
5.815 0.24322 0.244075
5.81667 0.241235 0.246761
5.81833 0.239234 0.249431
5.82 0.237217 0.252086
5.82167 0.235184 0.254724
5.82333 0.233135 0.257346
5.825 0.231071 0.259952
5.82667 0.228992 0.262542
5.82833 0.226897 0.265115
5.83 0.224788 0.267672
5.83167 0.222664 0.270212
5.83333 0.220525 0.272736
5.835 0.218372 0.275243
5.83667 0.216205 0.277732
5.83833 0.214024 0.280205
5.84 0.211829 0.282661
5.84167 0.209621 0.2851
5.84333 0.2074 0.287522
5.845 0.205165 0.289926
5.84667 0.202917 0.292313
5.84833 0.200657 0.294683
5.85 0.198384 0.297036
5.85167 0.196099 0.299371
5.85333 0.193802 0.301688
5.855 0.191493 0.303988
