# Value of energy0.111376
# number of periods40
# number of steps40
0.336667 -0.0874846 0.40146
0.338333 -0.0903379 0.402073
0.34 -0.093188 0.40267
0.341667 -0.0960349 0.403251
0.343333 -0.0988785 0.403817
0.345 -0.101719 0.404367
0.346667 -0.104555 0.404902
0.348333 -0.107388 0.405422
0.35 -0.110218 0.405926
0.351667 -0.113043 0.406416
0.353333 -0.115865 0.406891
0.355 -0.118683 0.40735
0.356667 -0.121497 0.407796
0.358333 -0.124307 0.408226
0.36 -0.127113 0.408642
0.361667 -0.129915 0.409044
0.363333 -0.132713 0.409431
0.365 -0.135506 0.409804
0.366667 -0.138295 0.410164
0.368333 -0.14108 0.410509
0.37 -0.14386 0.41084
0.371667 -0.146636 0.411157
0.373333 -0.149407 0.411461
0.375 -0.152174 0.411751
0.376667 -0.154936 0.412028
0.378333 -0.157693 0.412292
0.38 -0.160445 0.412542
0.381667 -0.163193 0.412779
0.383333 -0.165936 0.413002
0.385 -0.168674 0.413213
0.386667 -0.171407 0.413411
0.388333 -0.174135 0.413596
0.39 -0.176858 0.413769
0.391667 -0.179575 0.413929
0.393333 -0.182288 0.414076
0.395 -0.184996 0.414211
0.396667 -0.187698 0.414334
0.398333 -0.190395 0.414444
0.4 -0.193087 0.414542
0.401667 -0.195773 0.414628
0.403333 -0.198455 0.414703
0.405 -0.20113 0.414765
0.406667 -0.203801 0.414816
0.408333 -0.206466 0.414854
0.41 -0.209125 0.414882
0.411667 -0.211779 0.414897
0.413333 -0.214427 0.414902
0.415 -0.21707 0.414895
0.416667 -0.219707 0.414876
0.418333 -0.222338 0.414847
0.42 -0.224964 0.414806
0.421667 -0.227584 0.414755
0.423333 -0.230199 0.414692
0.425 -0.232807 0.414619
0.426667 -0.23541 0.414535
0.428333 -0.238007 0.41444
0.43 -0.240599 0.414335
0.431667 -0.243184 0.414219
0.433333 -0.245764 0.414092
0.435 -0.248337 0.413956
0.436667 -0.250905 0.413809
0.438333 -0.253467 0.413652
0.44 -0.256023 0.413484
0.441667 -0.258573 0.413307
0.443333 -0.261117 0.41312
0.445 -0.263655 0.412922
0.446667 -0.266187 0.412715
0.448333 -0.268712 0.412498
0.45 -0.271232 0.412272
0.451667 -0.273746 0.412036
0.453333 -0.276254 0.41179
0.455 -0.278755 0.411535
0.456667 -0.281251 0.411271
0.458333 -0.28374 0.410997
0.46 -0.286224 0.410714
0.461667 -0.288701 0.410422
0.463333 -0.291172 0.41012
0.465 -0.293636 0.40981
0.466667 -0.296095 0.409491
0.468333 -0.298547 0.409162
0.47 -0.300994 0.408825
0.471667 -0.303434 0.40848
0.473333 -0.305867 0.408125
0.475 -0.308295 0.407762
0.476667 -0.310716 0.40739
0.478333 -0.313131 0.40701
0.48 -0.31554 0.406621
0.481667 -0.317942 0.406224
0.483333 -0.320339 0.405819
0.485 -0.322729 0.405405
0.486667 -0.325112 0.404984
0.488333 -0.32749 0.404554
0.49 -0.329861 0.404116
0.491667 -0.332225 0.40367
0.493333 -0.334584 0.403216
0.495 -0.336936 0.402754
0.496667 -0.339282 0.402284
0.498333 -0.341621 0.401807
0.5 -0.343955 0.401322
0.501667 -0.346281 0.400829
0.503333 -0.348602 0.400329
0.505 -0.350916 0.399821
0.506667 -0.353224 0.399306
0.508333 -0.355525 0.398783
0.51 -0.357821 0.398253
0.511667 -0.360109 0.397715
0.513333 -0.362392 0.397171
0.515 -0.364668 0.396619
0.516667 -0.366938 0.39606
0.518333 -0.369201 0.395494
0.52 -0.371458 0.39492
0.521667 -0.373709 0.39434
0.523333 -0.375953 0.393753
0.525 -0.378191 0.393159
0.526667 -0.380423 0.392558
0.528333 -0.382648 0.391951
0.53 -0.384867 0.391337
0.531667 -0.387079 0.390716
0.533333 -0.389285 0.390088
0.535 -0.391485 0.389454
0.536667 -0.393679 0.388813
0.538333 -0.395866 0.388166
0.54 -0.398047 0.387512
0.541667 -0.400221 0.386852
0.543333 -0.402389 0.386186
0.545 -0.404551 0.385513
0.546667 -0.406706 0.384835
0.548333 -0.408855 0.38415
0.55 -0.410998 0.383458
0.551667 -0.413134 0.382761
0.553333 -0.415264 0.382058
0.555 -0.417388 0.381348
0.556667 -0.419505 0.380633
0.558333 -0.421616 0.379912
0.56 -0.423721 0.379185
0.561667 -0.42582 0.378452
0.563333 -0.427912 0.377713
0.565 -0.429997 0.376969
0.566667 -0.432077 0.376219
0.568333 -0.43415 0.375463
0.57 -0.436217 0.374701
0.571667 -0.438278 0.373934
0.573333 -0.440332 0.373162
0.575 -0.44238 0.372384
0.576667 -0.444422 0.3716
0.578333 -0.446457 0.370811
0.58 -0.448486 0.370017
0.581667 -0.450509 0.369217
0.583333 -0.452526 0.368412
0.585 -0.454536 0.367602
0.586667 -0.45654 0.366787
0.588333 -0.458538 0.365966
0.59 -0.46053 0.365141
0.591667 -0.462515 0.36431
0.593333 -0.464495 0.363474
0.595 -0.466468 0.362633
0.596667 -0.468434 0.361787
0.598333 -0.470395 0.360937
0.6 -0.472349 0.360081
0.601667 -0.474297 0.35922
0.603333 -0.476239 0.358355
0.605 -0.478175 0.357485
0.606667 -0.480105 0.35661
0.608333 -0.482028 0.35573
0.61 -0.483945 0.354846
0.611667 -0.485856 0.353957
0.613333 -0.487761 0.353063
0.615 -0.48966 0.352165
0.616667 -0.491552 0.351262
0.618333 -0.493439 0.350355
0.62 -0.495319 0.349443
0.621667 -0.497193 0.348527
0.623333 -0.499061 0.347606
0.625 -0.500923 0.346681
0.626667 -0.502779 0.345751
0.628333 -0.504629 0.344818
0.63 -0.506473 0.34388
0.631667 -0.50831 0.342937
0.633333 -0.510142 0.341991
0.635 -0.511967 0.34104
0.636667 -0.513786 0.340085
0.638333 -0.5156 0.339126
0.64 -0.517407 0.338163
0.641667 -0.519208 0.337196
0.643333 -0.521003 0.336225
0.645 -0.522792 0.335249
0.646667 -0.524575 0.33427
0.648333 -0.526353 0.333287
0.65 -0.528124 0.3323
0.651667 -0.529889 0.331309
0.653333 -0.531648 0.330314
0.655 -0.533401 0.329316
0.656667 -0.535148 0.328313
0.658333 -0.536889 0.327307
0.66 -0.538624 0.326297
0.661667 -0.540353 0.325283
0.663333 -0.542077 0.324266
0.665 -0.543794 0.323245
0.666667 -0.545505 0.32222
0.668333 -0.547211 0.321192
0.67 -0.54891 0.32016
0.671667 -0.550604 0.319124
0.673333 -0.552292 0.318085
0.675 -0.553974 0.317043
0.676667 -0.555649 0.315997
0.678333 -0.55732 0.314947
0.68 -0.558984 0.313895
0.681667 -0.560642 0.312838
0.683333 -0.562294 0.311779
0.685 -0.563941 0.310716
0.686667 -0.565582 0.30965
0.688333 -0.567217 0.30858
0.69 -0.568846 0.307507
0.691667 -0.570469 0.306431
0.693333 -0.572087 0.305352
0.695 -0.573698 0.304269
0.696667 -0.575304 0.303184
0.698333 -0.576904 0.302095
0.7 -0.578499 0.301003
0.701667 -0.580087 0.299908
0.703333 -0.58167 0.29881
0.705 -0.583247 0.297709
0.706667 -0.584818 0.296605
0.708333 -0.586384 0.295497
0.71 -0.587943 0.294387
0.711667 -0.589497 0.293274
0.713333 -0.591046 0.292158
0.715 -0.592588 0.291039
0.716667 -0.594125 0.289917
0.718333 -0.595656 0.288793
0.72 -0.597182 0.287665
0.721667 -0.598702 0.286535
0.723333 -0.600216 0.285402
0.725 -0.601725 0.284266
0.726667 -0.603227 0.283127
0.728333 -0.604725 0.281985
0.73 -0.606216 0.280841
0.731667 -0.607702 0.279694
0.733333 -0.609182 0.278545
0.735 -0.610657 0.277393
0.736667 -0.612126 0.276238
0.738333 -0.61359 0.27508
0.74 -0.615048 0.27392
0.741667 -0.6165 0.272758
0.743333 -0.617947 0.271593
0.745 -0.619388 0.270425
0.746667 -0.620823 0.269255
0.748333 -0.622253 0.268082
0.75 -0.623678 0.266907
0.751667 -0.625097 0.265729
0.753333 -0.62651 0.264549
0.755 -0.627918 0.263367
0.756667 -0.629321 0.262182
0.758333 -0.630717 0.260995
0.76 -0.632109 0.259805
0.761667 -0.633495 0.258613
0.763333 -0.634875 0.257419
0.765 -0.63625 0.256223
0.766667 -0.63762 0.255024
0.768333 -0.638984 0.253823
0.77 -0.640342 0.25262
0.771667 -0.641695 0.251414
0.773333 -0.643043 0.250206
0.775 -0.644385 0.248997
0.776667 -0.645722 0.247784
0.778333 -0.647053 0.24657
0.78 -0.648379 0.245354
0.781667 -0.6497 0.244135
0.783333 -0.651015 0.242915
0.785 -0.652325 0.241692
0.786667 -0.653629 0.240468
0.788333 -0.654928 0.239241
0.79 -0.656222 0.238012
